id	indonesian	chinese	category	scene	example	example_chinese
W0003	pengukuran pekerjaan konstruksi	测量施工	施工	施工		
W0025	proyek	项目	项目管理	项目管理		
W0036	gambar proyek	项目图纸	项目管理	项目管理		
W0047	proyek utama	主要项目	项目管理	项目管理		
W0069	pemeriksaan akhir lapangan	现场最终检查	现场管理	现场管理		
W0080	kondisi lokasi konstruksi	工地状态	现场管理	现场管理		
W0091	spesifikasi lokasi konstruksi	工地规格	现场管理	现场管理		
W0102	pemeliharaan proyek teknik	维护工程	项目管理	项目管理		
W0113	biaya proyek teknik	工程费用	项目管理	项目管理		
W0124	pemasangan fondasi	安装基础	结构	结构		
W0135	catatan fondasi	基础记录	结构	结构		
W0146	pemeriksaan tanah dasar	检查地基	土建	土建		
W0157	data tanah dasar	地基数据	土建	土建		
W0168	tanah dasar sementara	临时地基	土建	土建		
W0179	ukuran pekerjaan tanah	土方尺寸	土建	土建		
W0190	risiko pekerjaan tanah	土方风险	土建	土建		
W0201	lokasi galian fondasi	基坑位置	土建	土建		
W0212	persiapan galian fondasi	基坑准备	土建	土建		
W0223	pekerjaan lereng	边坡作业	土建	土建		
W0234	kualitas lereng	边坡质量	土建	土建		
W0245	perbaikan dinding penahan tanah	修复挡土墙	土建	土建		
W0256	rencana dinding penahan tanah	挡土墙计划	土建	土建		
W0267	pengukuran pagar	测量围墙	土建	土建		
W0289	saluran drainase	排水沟	水利	水利		
W0300	gambar saluran drainase	排水沟图纸	水利	水利		
W0311	saluran drainase utama	主要排水沟	水利	水利		
W0333	pemeriksaan akhir sumur pengumpul	集水井最终检查	水利	水利		
W0344	kondisi kolam sedimentasi	沉淀池状态	水利	水利		
W0355	spesifikasi kolam sedimentasi	沉淀池规格	水利	水利		
W0366	pemeliharaan beton	维护混凝土	材料	材料		
W0377	biaya beton	混凝土费用	材料	材料		
W0388	pemasangan semen	安装水泥	材料	材料		
W0399	catatan semen	水泥记录	材料	材料		
W0410	pemeriksaan pasir	检查砂	材料	材料		
W0421	data pasir	砂数据	材料	材料		
W0432	pasir sementara	临时砂	材料	材料		
W0443	ukuran batu pecah	碎石尺寸	材料	材料		
W0454	risiko batu pecah	碎石风险	材料	材料		
W0465	lokasi agregat	骨料位置	材料	材料		
W0476	persiapan agregat	骨料准备	材料	材料		
W0487	pekerjaan tulangan	钢筋作业	钢筋	钢筋		
W0498	kualitas tulangan	钢筋质量	钢筋	钢筋		
W0509	perbaikan keranjang tulangan	修复钢筋笼	钢筋	钢筋		
W0520	rencana keranjang tulangan	钢筋笼计划	钢筋	钢筋		
W0531	pengukuran sengkang	测量箍筋	钢筋	钢筋		
W0553	tulangan pengikat	拉筋	钢筋	钢筋		
W0564	gambar tulangan pengikat	拉筋图纸	钢筋	钢筋		
W0575	tulangan pengikat utama	主要拉筋	钢筋	钢筋		
W0597	pemeriksaan akhir tulangan angkur	锚筋最终检查	钢筋	钢筋		
W0608	kondisi baja profil	型钢状态	钢结构	钢结构		
W0619	spesifikasi baja profil	型钢规格	钢结构	钢结构		
W0630	pemeliharaan pelat baja	维护钢板	钢结构	钢结构		
W0641	biaya pelat baja	钢板费用	钢结构	钢结构		
W0652	pemasangan baut	安装螺栓	钢结构	钢结构		
W0663	catatan baut	螺栓记录	钢结构	钢结构		
W0674	pemeriksaan jahitan las	检查焊缝	钢结构	钢结构		
W0685	data jahitan las	焊缝数据	钢结构	钢结构		
W0696	jahitan las sementara	临时焊缝	钢结构	钢结构		
W0707	ukuran pengelasan	焊接尺寸	钢结构	钢结构		
W0718	risiko pengelasan	焊接风险	钢结构	钢结构		
W0729	lokasi bekisting	模板位置	模板	模板		
W0740	persiapan bekisting	模板准备	模板	模板		
W0751	pekerjaan bekisting kayu	木模板作业	模板	模板		
W0762	kualitas bekisting kayu	木模板质量	模板	模板		
W0773	perbaikan bekisting baja	修复钢模板	模板	模板		
W0784	rencana bekisting baja	钢模板计划	模板	模板		
W0795	pemasangan pemasangan bekisting	安装支模	模板	模板		
W0806	catatan pemasangan bekisting	支模记录	模板	模板		
W0817	pemeriksaan pembongkaran bekisting	检查拆模	模板	模板		
