id	indonesian	chinese	category	scene	example	example_chinese
W0005	perbaikan pekerjaan konstruksi	修复施工	施工	施工		
W0016	rencana pekerjaan konstruksi	施工计划	施工	施工		
W0027	pengukuran proyek	测量项目	项目管理	项目管理		
W0049	lapangan	现场	现场管理	现场管理		
W0060	gambar lapangan	现场图纸	现场管理	现场管理		
W0071	lapangan utama	主要现场	现场管理	现场管理		
W0093	pemeriksaan akhir lokasi konstruksi	工地最终检查	现场管理	现场管理		
W0104	kondisi proyek teknik	工程状态	项目管理	项目管理		
W0115	spesifikasi proyek teknik	工程规格	项目管理	项目管理		
W0126	pemeliharaan fondasi	维护基础	结构	结构		
W0137	biaya fondasi	基础费用	结构	结构		
W0148	pemasangan tanah dasar	安装地基	土建	土建		
W0159	catatan tanah dasar	地基记录	土建	土建		
W0170	pemeriksaan pekerjaan tanah	检查土方	土建	土建		
W0181	data pekerjaan tanah	土方数据	土建	土建		
W0192	pekerjaan tanah sementara	临时土方	土建	土建		
W0203	ukuran galian fondasi	基坑尺寸	土建	土建		
W0214	risiko galian fondasi	基坑风险	土建	土建		
W0225	lokasi lereng	边坡位置	土建	土建		
W0236	persiapan lereng	边坡准备	土建	土建		
W0247	pekerjaan dinding penahan tanah	挡土墙作业	土建	土建		
W0258	kualitas dinding penahan tanah	挡土墙质量	土建	土建		
W0269	perbaikan pagar	修复围墙	土建	土建		
W0280	rencana pagar	围墙计划	土建	土建		
W0291	pengukuran saluran drainase	测量排水沟	水利	水利		
W0313	sumur pengumpul	集水井	水利	水利		
W0324	gambar sumur pengumpul	集水井图纸	水利	水利		
W0335	sumur pengumpul utama	主要集水井	水利	水利		
W0357	pemeriksaan akhir kolam sedimentasi	沉淀池最终检查	水利	水利		
W0368	kondisi beton	混凝土状态	材料	材料		
W0379	spesifikasi beton	混凝土规格	材料	材料		
W0390	pemeliharaan semen	维护水泥	材料	材料		
W0401	biaya semen	水泥费用	材料	材料		
W0412	pemasangan pasir	安装砂	材料	材料		
W0423	catatan pasir	砂记录	材料	材料		
W0434	pemeriksaan batu pecah	检查碎石	材料	材料		
W0445	data batu pecah	碎石数据	材料	材料		
W0456	batu pecah sementara	临时碎石	材料	材料		
W0467	ukuran agregat	骨料尺寸	材料	材料		
W0478	risiko agregat	骨料风险	材料	材料		
W0489	lokasi tulangan	钢筋位置	钢筋	钢筋		
W0500	persiapan tulangan	钢筋准备	钢筋	钢筋		
W0511	pekerjaan keranjang tulangan	钢筋笼作业	钢筋	钢筋		
W0522	kualitas keranjang tulangan	钢筋笼质量	钢筋	钢筋		
W0533	perbaikan sengkang	修复箍筋	钢筋	钢筋		
W0544	rencana sengkang	箍筋计划	钢筋	钢筋		
W0555	pengukuran tulangan pengikat	测量拉筋	钢筋	钢筋		
W0577	tulangan angkur	锚筋	钢筋	钢筋		
W0588	gambar tulangan angkur	锚筋图纸	钢筋	钢筋		
W0599	tulangan angkur utama	主要锚筋	钢筋	钢筋		
W0621	pemeriksaan akhir baja profil	型钢最终检查	钢结构	钢结构		
W0632	kondisi pelat baja	钢板状态	钢结构	钢结构		
W0643	spesifikasi pelat baja	钢板规格	钢结构	钢结构		
W0654	pemeliharaan baut	维护螺栓	钢结构	钢结构		
W0665	biaya baut	螺栓费用	钢结构	钢结构		
W0676	pemasangan jahitan las	安装焊缝	钢结构	钢结构		
W0687	catatan jahitan las	焊缝记录	钢结构	钢结构		
W0698	pemeriksaan pengelasan	检查焊接	钢结构	钢结构		
W0709	data pengelasan	焊接数据	钢结构	钢结构		
W0720	pengelasan sementara	临时焊接	钢结构	钢结构		
W0731	ukuran bekisting	模板尺寸	模板	模板		
W0742	risiko bekisting	模板风险	模板	模板		
W0753	lokasi bekisting kayu	木模板位置	模板	模板		
W0764	persiapan bekisting kayu	木模板准备	模板	模板		
W0775	pekerjaan bekisting baja	钢模板作业	模板	模板		
W0786	kualitas bekisting baja	钢模板质量	模板	模板		
W0797	pemeliharaan pemasangan bekisting	维护支模	模板	模板		
W0808	biaya pemasangan bekisting	支模费用	模板	模板		
W0819	pemasangan pembongkaran bekisting	安装拆模	模板	模板		
W0830	catatan pembongkaran bekisting	拆模记录	模板	模板		
W0841	pemeriksaan perancah	检查脚手架	脚手架	脚手架		
W0852	data perancah	脚手架数据	脚手架	脚手架		
W0863	perancah sementara	临时脚手架	脚手架	脚手架		
W0874	ukuran tiang vertikal	立杆尺寸	脚手架	脚手架		
W0885	risiko tiang vertikal	立杆风险	脚手架	脚手架		
W0896	lokasi batang horizontal	横杆位置	脚手架	脚手架		
W0907	persiapan batang horizontal	横杆准备	脚手架	脚手架		
W0918	pekerjaan pengaku diagonal	剪刀撑作业	脚手架	脚手架		
W0929	kualitas pengaku diagonal	剪刀撑质量	脚手架	脚手架		
W0940	perbaikan papan perancah	修复脚手板	脚手架	脚手架		
W0951	rencana papan perancah	脚手板计划	脚手架	脚手架		
W0962	pengukuran pasangan dinding	测量砌体	砌筑	砌筑		
W0984	bata	砖	砌筑	砌筑		
