id	indonesian	chinese	category	scene	example	example_chinese
W0002	pemeriksaan 施工	检查施工	施工	施工		
W0013	data 施工	施工数据	施工	施工		
W0024	施工 sementara	临时施工	施工	施工		
W0035	ukuran 项目	项目尺寸	项目管理	项目管理		
W0046	risiko 项目	项目风险	项目管理	项目管理		
W0057	lokasi 现场	施工现场位置	现场管理	现场管理		
W0068	persiapan 现场	施工现场准备	现场管理	现场管理		
W0079	pekerjaan 工地	工地作业	现场管理	现场管理		
W0090	kualitas 工地	工地质量	现场管理	现场管理		
W0101	perbaikan 工程	修复工程	项目管理	项目管理		
W0112	jadwal 工程	工程计划	项目管理	项目管理		
W0123	pengukuran 基础	测量基础	结构	结构		
W0134	hasil 基础	基础结果	结构	结构		
W0145	地基	地基	土建	土建		
W0156	gambar 地基	地基图纸	土建	土建		
W0167	地基 utama	主要地基	土建	土建		
W0178	posisi 土方	土方位置	土建	土建		
W0189	pemeriksaan akhir 土方	土方最终检查	土建	土建		
W0200	kondisi 基坑	基坑状态	土建	土建		
W0211	spesifikasi 基坑	基坑规格	土建	土建		
W0222	pemeliharaan 边坡	维护边坡	土建	土建		
W0233	biaya 边坡	边坡费用	土建	土建		
W0244	pemasangan 挡土墙	安装挡土墙	土建	土建		
W0255	catatan 挡土墙	挡土墙记录	土建	土建		
W0266	pemeriksaan 围墙	检查围墙	土建	土建		
W0277	data 围墙	围墙数据	土建	土建		
W0288	围墙 sementara	临时围墙	土建	土建		
W0299	ukuran 排水沟	排水沟尺寸	水利	水利		
W0310	risiko 排水沟	排水沟风险	水利	水利		
W0321	lokasi 集水井	集水井位置	水利	水利		
W0332	persiapan 集水井	集水井准备	水利	水利		
W0343	pekerjaan 沉淀池	沉淀池作业	水利	水利		
W0354	kualitas 沉淀池	沉淀池质量	水利	水利		
W0365	perbaikan 混凝土	修复混凝土	材料	材料		
W0376	jadwal 混凝土	混凝土计划	材料	材料		
W0387	pengukuran 水泥	测量水泥	材料	材料		
W0398	hasil 水泥	水泥结果	材料	材料		
W0409	砂	砂	材料	材料		
W0420	gambar 砂	砂图纸	材料	材料		
W0431	砂 utama	主要砂	材料	材料		
W0442	posisi 碎石	碎石位置	材料	材料		
W0453	pemeriksaan akhir 碎石	碎石最终检查	材料	材料		
W0464	kondisi 骨料	骨料状态	材料	材料		
W0475	spesifikasi 骨料	骨料规格	材料	材料		
W0486	pemeliharaan 钢筋	维护钢筋	钢筋	钢筋		
W0497	biaya 钢筋	钢筋费用	钢筋	钢筋		
W0508	pemasangan 钢筋笼	安装钢筋笼	钢筋	钢筋		
W0519	catatan 钢筋笼	钢筋笼记录	钢筋	钢筋		
W0530	pemeriksaan 箍筋	检查箍筋	钢筋	钢筋		
W0541	data 箍筋	箍筋数据	钢筋	钢筋		
W0552	箍筋 sementara	临时箍筋	钢筋	钢筋		
W0563	ukuran 拉筋	拉筋尺寸	钢筋	钢筋		
W0574	risiko 拉筋	拉筋风险	钢筋	钢筋		
W0585	lokasi 锚筋	锚筋位置	钢筋	钢筋		
W0596	persiapan 锚筋	锚筋准备	钢筋	钢筋		
W0607	pekerjaan 型钢	型钢作业	钢结构	钢结构		
W0618	kualitas 型钢	型钢质量	钢结构	钢结构		
W0629	perbaikan 钢板	修复钢板	钢结构	钢结构		
W0640	jadwal 钢板	钢板计划	钢结构	钢结构		
W0651	pengukuran 螺栓	测量螺栓	钢结构	钢结构		
W0662	hasil 螺栓	螺栓结果	钢结构	钢结构		
W0673	焊缝	焊缝	钢结构	钢结构		
W0684	gambar 焊缝	焊缝图纸	钢结构	钢结构		
W0695	焊缝 utama	主要焊缝	钢结构	钢结构		
W0706	posisi 焊接	焊接位置	钢结构	钢结构		
W0717	pemeriksaan akhir 焊接	焊接最终检查	钢结构	钢结构		
W0728	kondisi 模板	模板状态	模板	模板		
W0739	spesifikasi 模板	模板规格	模板	模板		
W0750	pemeliharaan 木模板	维护木模板	模板	模板		
W0761	biaya 木模板	木模板费用	模板	模板		
W0772	pemasangan 钢模板	安装钢模板	模板	模板		
W0783	catatan 钢模板	钢模板记录	模板	模板		
W0794	pemeriksaan 支模	检查支模	模板	模板		
W0805	data 支模	支模数据	模板	模板		
W0816	支模 sementara	临时支模	模板	模板		
W0827	ukuran 拆模	拆模尺寸	模板	模板		
W0838	risiko 拆模	拆模风险	模板	模板		
W0849	lokasi 脚手架	脚手架位置	脚手架	脚手架		
W0860	persiapan 脚手架	脚手架准备	脚手架	脚手架		
W0871	pekerjaan 立杆	立杆作业	脚手架	脚手架		
W0882	kualitas 立杆	立杆质量	脚手架	脚手架		
W0893	perbaikan 横杆	修复横杆	脚手架	脚手架		
W0904	jadwal 横杆	横杆计划	脚手架	脚手架		
W0915	pengukuran 剪刀撑	测量剪刀撑	脚手架	脚手架		
W0926	hasil 剪刀撑	剪刀撑结果	脚手架	脚手架		
W0937	脚手板	脚手板	脚手架	脚手架		
W0948	gambar 脚手板	脚手板图纸	脚手架	脚手架		
W0959	脚手板 utama	主要脚手板	脚手架	脚手架		
W0970	posisi 砌体	砌体位置	砌筑	砌筑		
W0981	pemeriksaan akhir 砌体	砌体最终检查	砌筑	砌筑		
W0992	kondisi 砖	砖状态	砌筑	砌筑		
W1003	spesifikasi 砖	砖规格	砌筑	砌筑		
W1014	pemeliharaan 砌块	维护砌块	砌筑	砌筑		
