id	indonesian	chinese	category	scene	example	example_chinese
W0011	ukuran pekerjaan konstruksi	施工尺寸	施工	施工		
W0022	risiko pekerjaan konstruksi	施工风险	施工	施工		
W0033	lokasi proyek	项目位置	项目管理	项目管理		
W0044	persiapan proyek	项目准备	项目管理	项目管理		
W0055	pekerjaan lapangan	现场作业	现场管理	现场管理		
W0066	kualitas lapangan	现场质量	现场管理	现场管理		
W0077	perbaikan lokasi konstruksi	修复工地	现场管理	现场管理		
W0088	jadwal lokasi konstruksi	工地计划	现场管理	现场管理		
W0099	pengukuran proyek teknik	测量工程	项目管理	项目管理		
W0110	hasil proyek teknik	工程结果	项目管理	项目管理		
W0121	fondasi	基础	结构	结构		
W0132	gambar fondasi	基础图纸	结构	结构		
W0143	fondasi utama	主要基础	结构	结构		
W0154	posisi tanah dasar	地基位置	土建	土建		
W0165	pemeriksaan akhir tanah dasar	地基最终检查	土建	土建		
W0176	kondisi pekerjaan tanah	土方状态	土建	土建		
W0187	spesifikasi pekerjaan tanah	土方规格	土建	土建		
W0198	pemeliharaan galian fondasi	维护基坑	土建	土建		
W0209	biaya galian fondasi	基坑费用	土建	土建		
W0220	pemasangan lereng	安装边坡	土建	土建		
W0231	catatan lereng	边坡记录	土建	土建		
W0242	pemeriksaan dinding penahan tanah	检查挡土墙	土建	土建		
W0253	data dinding penahan tanah	挡土墙数据	土建	土建		
W0264	dinding penahan tanah sementara	临时挡土墙	土建	土建		
W0275	ukuran pagar	围墙尺寸	土建	土建		
W0286	risiko pagar	围墙风险	土建	土建		
W0297	lokasi saluran drainase	排水沟位置	水利	水利		
W0308	persiapan saluran drainase	排水沟准备	水利	水利		
W0319	pekerjaan sumur pengumpul	集水井作业	水利	水利		
W0330	kualitas sumur pengumpul	集水井质量	水利	水利		
W0341	perbaikan kolam sedimentasi	修复沉淀池	水利	水利		
W0352	jadwal kolam sedimentasi	沉淀池计划	水利	水利		
W0363	pengukuran beton	测量混凝土	材料	材料		
W0374	hasil beton	混凝土结果	材料	材料		
W0385	semen	水泥	材料	材料		
W0396	gambar semen	水泥图纸	材料	材料		
W0407	semen utama	主要水泥	材料	材料		
W0418	posisi pasir	砂位置	材料	材料		
W0429	pemeriksaan akhir pasir	砂最终检查	材料	材料		
W0440	kondisi batu pecah	碎石状态	材料	材料		
W0451	spesifikasi batu pecah	碎石规格	材料	材料		
W0462	pemeliharaan agregat	维护骨料	材料	材料		
W0473	biaya agregat	骨料费用	材料	材料		
W0484	pemasangan tulangan	安装钢筋	钢筋	钢筋		
W0495	catatan tulangan	钢筋记录	钢筋	钢筋		
W0506	pemeriksaan keranjang tulangan	检查钢筋笼	钢筋	钢筋		
W0517	data keranjang tulangan	钢筋笼数据	钢筋	钢筋		
W0528	keranjang tulangan sementara	临时钢筋笼	钢筋	钢筋		
W0539	ukuran sengkang	箍筋尺寸	钢筋	钢筋		
W0550	risiko sengkang	箍筋风险	钢筋	钢筋		
W0561	lokasi tulangan pengikat	拉筋位置	钢筋	钢筋		
W0572	persiapan tulangan pengikat	拉筋准备	钢筋	钢筋		
W0583	pekerjaan tulangan angkur	锚筋作业	钢筋	钢筋		
W0594	kualitas tulangan angkur	锚筋质量	钢筋	钢筋		
W0605	perbaikan baja profil	修复型钢	钢结构	钢结构		
W0616	jadwal baja profil	型钢计划	钢结构	钢结构		
W0627	pengukuran pelat baja	测量钢板	钢结构	钢结构		
W0638	hasil pelat baja	钢板结果	钢结构	钢结构		
W0649	baut	螺栓	钢结构	钢结构		
W0660	gambar baut	螺栓图纸	钢结构	钢结构		
W0671	baut utama	主要螺栓	钢结构	钢结构		
W0682	posisi jahitan las	焊缝位置	钢结构	钢结构		
W0693	pemeriksaan akhir jahitan las	焊缝最终检查	钢结构	钢结构		
W0704	kondisi pengelasan	焊接状态	钢结构	钢结构		
W0715	spesifikasi pengelasan	焊接规格	钢结构	钢结构		
W0726	pemeliharaan bekisting	维护模板	模板	模板		
W0737	biaya bekisting	模板费用	模板	模板		
W0748	pemasangan bekisting kayu	安装木模板	模板	模板		
W0759	catatan bekisting kayu	木模板记录	模板	模板		
W0770	pemeriksaan bekisting baja	检查钢模板	模板	模板		
W0781	data bekisting baja	钢模板数据	模板	模板		
W0792	bekisting baja sementara	临时钢模板	模板	模板		
