id	indonesian	chinese	category	scene	example	example_chinese
W0001	pekerjaan konstruksi	施工	施工	施工		
W0012	gambar pekerjaan konstruksi	施工图纸	施工	施工		
W0023	pekerjaan konstruksi utama	主要施工	施工	施工		
W0034	posisi proyek	项目位置	项目管理	项目管理		
W0045	pemeriksaan akhir proyek	项目最终检查	项目管理	项目管理		
W0056	kondisi lapangan	现场状态	现场管理	现场管理		
W0067	spesifikasi lapangan	现场规格	现场管理	现场管理		
W0078	pemeliharaan lokasi konstruksi	维护工地	现场管理	现场管理		
W0089	biaya lokasi konstruksi	工地费用	现场管理	现场管理		
W0100	pemasangan proyek teknik	安装工程	项目管理	项目管理		
W0111	catatan proyek teknik	工程记录	项目管理	项目管理		
W0122	pemeriksaan fondasi	检查基础	结构	结构		
W0133	data fondasi	基础数据	结构	结构		
W0144	fondasi sementara	临时基础	结构	结构		
W0155	ukuran tanah dasar	地基尺寸	土建	土建		
W0166	risiko tanah dasar	地基风险	土建	土建		
W0177	lokasi pekerjaan tanah	土方位置	土建	土建		
W0188	persiapan pekerjaan tanah	土方准备	土建	土建		
W0199	pekerjaan galian fondasi	基坑作业	土建	土建		
W0210	kualitas galian fondasi	基坑质量	土建	土建		
W0221	perbaikan lereng	修复边坡	土建	土建		
W0232	jadwal lereng	边坡计划	土建	土建		
W0243	pengukuran dinding penahan tanah	测量挡土墙	土建	土建		
W0254	hasil dinding penahan tanah	挡土墙结果	土建	土建		
W0265	pagar	围墙	土建	土建		
W0276	gambar pagar	围墙图纸	土建	土建		
W0287	pagar utama	主要围墙	土建	土建		
W0298	posisi saluran drainase	排水沟位置	水利	水利		
W0309	pemeriksaan akhir saluran drainase	排水沟最终检查	水利	水利		
W0320	kondisi sumur pengumpul	集水井状态	水利	水利		
W0331	spesifikasi sumur pengumpul	集水井规格	水利	水利		
W0342	pemeliharaan kolam sedimentasi	维护沉淀池	水利	水利		
W0353	biaya kolam sedimentasi	沉淀池费用	水利	水利		
W0364	pemasangan beton	安装混凝土	材料	材料		
W0375	catatan beton	混凝土记录	材料	材料		
W0386	pemeriksaan semen	检查水泥	材料	材料		
W0397	data semen	水泥数据	材料	材料		
W0408	semen sementara	临时水泥	材料	材料		
W0419	ukuran pasir	砂尺寸	材料	材料		
W0430	risiko pasir	砂风险	材料	材料		
W0441	lokasi batu pecah	碎石位置	材料	材料		
W0452	persiapan batu pecah	碎石准备	材料	材料		
W0463	pekerjaan agregat	骨料作业	材料	材料		
W0474	kualitas agregat	骨料质量	材料	材料		
W0485	perbaikan tulangan	修复钢筋	钢筋	钢筋		
W0496	jadwal tulangan	钢筋计划	钢筋	钢筋		
W0507	pengukuran keranjang tulangan	测量钢筋笼	钢筋	钢筋		
W0518	hasil keranjang tulangan	钢筋笼结果	钢筋	钢筋		
W0529	sengkang	箍筋	钢筋	钢筋		
W0540	gambar sengkang	箍筋图纸	钢筋	钢筋		
W0551	sengkang utama	主要箍筋	钢筋	钢筋		
W0562	posisi tulangan pengikat	拉筋位置	钢筋	钢筋		
W0573	pemeriksaan akhir tulangan pengikat	拉筋最终检查	钢筋	钢筋		
W0584	kondisi tulangan angkur	锚筋状态	钢筋	钢筋		
W0595	spesifikasi tulangan angkur	锚筋规格	钢筋	钢筋		
W0606	pemeliharaan baja profil	维护型钢	钢结构	钢结构		
W0617	biaya baja profil	型钢费用	钢结构	钢结构		
W0628	pemasangan pelat baja	安装钢板	钢结构	钢结构		
W0639	catatan pelat baja	钢板记录	钢结构	钢结构		
